DESCRIPCIÓN DE LAS UNIDADES,Dólares de Estados Unidos por Euro,Yenes japoneses por Euro,Francos suizos por Euro,Libras esterlinas por Euro,Coronas checas por Euro,Coronas danesas por Euro,Forints húngaros por Euro,Zlotys polacos por Euro,Lei rumanos por Euro,Coronas suecas por Euro,Coronas noruegas por Euro,Liras turcas por Euro,Dólares australianos por Euro,Reales brasileños por Euro,Dólares canadienses por Euro,Yuans por Euro,Dólares de Hong Kong por Euro,Rupias indonesias por Euro,Rupias indias por euro,Wons surcoreanos por Euro,Pesos mejicanos por Euro,Dólares neozelandeses por Euro,Pesos filipinos por Euro,Dólares de Singapur por Euro
29 OCT 2018,"1,138 USD","127,920 JPY","1,138 CHF","0,888 GBP","25,849 CZK","7,461 DKK","324,400 HUF","4,318 PLN","4,665 RON","10,391 SEK","9,513 NOK","6,311 TRY","1,606 AUD","4,123 BRL","1,492 CAD","7,920 €","8,927 CNY","17.320,740 IDR","83,560 INR","1.297,350 KRW","22,363 MXN","1,740 NZD","61,101 PHP","1,574 SGD"
30 OCT 2018,"1,137 USD","128,280 JPY","1,139 CHF","0,891 GBP","25,870 CZK","7,461 DKK","324,950 HUF","4,331 PLN","4,667 RON","10,420 SEK","9,544 NOK","6,261 TRY","1,603 AUD","4,228 BRL","1,494 CAD","7,920 €","8,923 CNY","17.301,420 IDR","83,728 INR","1.295,910 KRW","22,751 MXN","1,735 NZD","60,862 PHP","1,574 SGD"
31 OCT 2018,"1,132 USD","128,150 JPY","1,140 CHF","0,889 GBP","25,922 CZK","7,461 DKK","325,100 HUF","4,339 PLN","4,664 RON","10,402 SEK","9,553 NOK","6,226 TRY","1,597 AUD","4,194 BRL","1,486 CAD","7,894 €","8,879 CNY","17.206,190 IDR","83,731 INR","1.291,100 KRW","22,903 MXN","1,732 NZD","60,471 PHP","1,570 SGD"
01 NOV 2018,"1,139 USD","128,520 JPY","1,143 CHF","0,882 GBP","25,879 CZK","7,460 DKK","322,960 HUF","4,327 PLN","4,664 RON","10,316 SEK","9,515 NOK","6,325 TRY","1,586 AUD","4,208 BRL","1,490 CAD","7,905 €","8,929 CNY","17.192,300 IDR","83,680 INR","1.285,700 KRW","22,992 MXN","1,719 NZD","60,642 PHP","1,570 SGD"
02 NOV 2018,"1,142 USD","128,890 JPY","1,142 CHF","0,879 GBP","25,782 CZK","7,460 DKK","321,620 HUF","4,320 PLN","4,661 RON","10,312 SEK","9,514 NOK","6,254 TRY","1,584 AUD","4,221 BRL","1,496 CAD","7,871 €","8,939 CNY","17.031,880 IDR","82,709 INR","1.276,250 KRW","22,840 MXN","1,715 NZD","60,693 PHP","1,569 SGD"
05 NOV 2018,"1,137 USD","128,810 JPY","1,144 CHF","0,875 GBP","25,846 CZK","7,460 DKK","322,440 HUF","4,313 PLN","4,661 RON","10,327 SEK","9,524 NOK","6,178 TRY","1,580 AUD","4,225 BRL","1,489 CAD","7,878 €","8,905 CNY","17.027,710 IDR","83,092 INR","1.278,670 KRW","22,851 MXN","1,709 NZD","60,515 PHP","1,565 SGD"
06 NOV 2018,"1,143 USD","129,310 JPY","1,146 CHF","0,873 GBP","25,833 CZK","7,459 DKK","322,060 HUF","4,309 PLN","4,665 RON","10,347 SEK","9,545 NOK","6,125 TRY","1,579 AUD","4,283 BRL","1,500 CAD","7,902 €","8,951 CNY","16.916,300 IDR","83,379 INR","1.280,900 KRW","22,774 MXN","1,711 NZD","60,482 PHP","1,569 SGD"
07 NOV 2018,"1,149 USD","130,020 JPY","1,144 CHF","0,874 GBP","25,880 CZK","7,460 DKK","321,760 HUF","4,294 PLN","4,662 RON","10,331 SEK","9,533 NOK","6,136 TRY","1,575 AUD","4,306 BRL","1,502 CAD","7,943 €","8,994 CNY","16.748,050 IDR","83,280 INR","1.286,250 KRW","22,633 MXN","1,695 NZD","60,584 PHP","1,573 SGD"
08 NOV 2018,"1,142 USD","129,900 JPY","1,146 CHF","0,872 GBP","25,887 CZK","7,460 DKK","321,440 HUF","4,292 PLN","4,660 RON","10,253 SEK","9,508 NOK","6,193 TRY","1,567 AUD","4,262 BRL","1,497 CAD","7,919 €","8,941 CNY","16.610,500 IDR","82,720 INR","1.275,880 KRW","22,686 MXN","1,684 NZD","60,308 PHP","1,566 SGD"
09 NOV 2018,"1,135 USD","129,260 JPY","1,141 CHF","0,871 GBP","25,936 CZK","7,459 DKK","321,310 HUF","4,288 PLN","4,657 RON","10,265 SEK","9,542 NOK","6,226 TRY","1,566 AUD","4,254 BRL","1,497 CAD","7,885 €","8,884 CNY","16.661,600 IDR","82,264 INR","1.278,770 KRW","23,000 MXN","1,682 NZD","60,256 PHP","1,563 SGD"
12 NOV 2018,"1,127 USD","128,200 JPY","1,137 CHF","0,876 GBP","25,942 CZK","7,460 DKK","321,720 HUF","4,297 PLN","4,658 RON","10,271 SEK","9,538 NOK","6,128 TRY","1,562 AUD","4,222 BRL","1,487 CAD","7,845 €","8,824 CNY","16.680,100 IDR","82,111 INR","1.280,120 KRW","22,837 MXN","1,670 NZD","59,973 PHP","1,556 SGD"
13 NOV 2018,"1,126 USD","128,320 JPY","1,137 CHF","0,869 GBP","25,939 CZK","7,461 DKK","322,890 HUF","4,299 PLN","4,661 RON","10,228 SEK","9,556 NOK","6,186 TRY","1,563 AUD","4,248 BRL","1,489 CAD","7,835 €","8,816 CNY","16.692,180 IDR","81,839 INR","1.277,210 KRW","23,015 MXN","1,668 NZD","59,885 PHP","1,556 SGD"
14 NOV 2018,"1,130 USD","128,640 JPY","1,140 CHF","0,870 GBP","25,994 CZK","7,462 DKK","322,680 HUF","4,291 PLN","4,660 RON","10,269 SEK","9,599 NOK","6,173 TRY","1,566 AUD","4,290 BRL","1,494 CAD","7,854 €","8,847 CNY","16.680,180 IDR","81,674 INR","1.278,880 KRW","23,080 MXN","1,665 NZD","59,989 PHP","1,559 SGD"
15 NOV 2018,"1,131 USD","128,160 JPY","1,137 CHF","0,884 GBP","25,985 CZK","7,462 DKK","321,990 HUF","4,293 PLN","4,665 RON","10,255 SEK","9,603 NOK","6,105 TRY","1,556 AUD","4,277 BRL","1,495 CAD","7,845 €","8,856 CNY","16.599,190 IDR","81,370 INR","1.277,990 KRW","23,066 MXN","1,660 NZD","59,614 PHP","1,557 SGD"
16 NOV 2018,"1,135 USD","128,370 JPY","1,143 CHF","0,884 GBP","25,985 CZK","7,462 DKK","321,930 HUF","4,315 PLN","4,665 RON","10,262 SEK","9,612 NOK","6,075 TRY","1,562 AUD","4,267 BRL","1,496 CAD","7,886 €","8,887 CNY","16.578,000 IDR","81,574 INR","1.283,800 KRW","23,057 MXN","1,665 NZD","59,873 PHP","1,561 SGD"
19 NOV 2018,"1,143 USD","128,890 JPY","1,139 CHF","0,891 GBP","26,013 CZK","7,463 DKK","321,650 HUF","4,329 PLN","4,667 RON","10,282 SEK","9,649 NOK","6,074 TRY","1,566 AUD","4,291 BRL","1,506 CAD","7,935 €","8,949 CNY","16.672,000 IDR","81,883 INR","1.287,630 KRW","23,166 MXN","1,674 NZD","60,020 PHP","1,568 SGD"
20 NOV 2018,"1,142 USD","128,340 JPY","1,133 CHF","0,889 GBP","26,032 CZK","7,463 DKK","321,250 HUF","4,318 PLN","4,667 RON","10,313 SEK","9,714 NOK","6,120 TRY","1,571 AUD","4,292 BRL","1,507 CAD","7,930 €","8,945 CNY","16.672,000 IDR","81,650 INR","1.287,960 KRW","23,303 MXN","1,668 NZD","59,859 PHP","1,568 SGD"
21 NOV 2018,"1,141 USD","129,040 JPY","1,134 CHF","0,891 GBP","26,002 CZK","7,462 DKK","321,630 HUF","4,300 PLN","4,663 RON","10,314 SEK","9,729 NOK","6,089 TRY","1,573 AUD","4,326 BRL","1,514 CAD","7,912 €","8,936 CNY","16.655,140 IDR","81,352 INR","1.287,060 KRW","23,118 MXN","1,669 NZD","59,593 PHP","1,566 SGD"
22 NOV 2018,"1,140 USD","128,800 JPY","1,135 CHF","0,886 GBP","25,990 CZK","7,462 DKK","321,520 HUF","4,300 PLN","4,659 RON","10,304 SEK","9,740 NOK","6,034 TRY","1,572 AUD","4,337 BRL","1,507 CAD","7,905 €","8,930 CNY","16.584,000 IDR","80,605 INR","1.287,510 KRW","23,066 MXN","1,674 NZD","59,749 PHP","1,565 SGD"
23 NOV 2018,"1,135 USD","128,070 JPY","1,132 CHF","0,885 GBP","25,954 CZK","7,462 DKK","322,030 HUF","4,295 PLN","4,658 RON","10,304 SEK","9,737 NOK","5,999 TRY","1,571 AUD","4,321 BRL","1,502 CAD","7,887 €","8,884 CNY","16.495,810 IDR","80,204 INR","1.285,150 KRW","23,098 MXN","1,675 NZD","59,477 PHP","1,561 SGD"
26 NOV 2018,"1,136 USD","128,700 JPY","1,133 CHF","0,884 GBP","25,918 CZK","7,461 DKK","322,900 HUF","4,292 PLN","4,659 RON","10,293 SEK","9,729 NOK","5,946 TRY","1,566 AUD","4,381 BRL","1,501 CAD","7,887 €","8,891 CNY","16.447,940 IDR","80,539 INR","1.281,860 KRW","23,211 MXN","1,671 NZD","59,559 PHP","1,560 SGD"
27 NOV 2018,"1,133 USD","128,660 JPY","1,131 CHF","0,887 GBP","25,914 CZK","7,462 DKK","324,060 HUF","4,290 PLN","4,658 RON","10,282 SEK","9,733 NOK","5,931 TRY","1,563 AUD","4,401 BRL","1,502 CAD","7,871 €","8,868 CNY","16.410,590 IDR","80,162 INR","1.279,170 KRW","23,178 MXN","1,665 NZD","59,439 PHP","1,558 SGD"
28 NOV 2018,"1,128 USD","128,470 JPY","1,127 CHF","0,882 GBP","25,931 CZK","7,462 DKK","324,370 HUF","4,295 PLN","4,659 RON","10,254 SEK","9,709 NOK","5,927 TRY","1,560 AUD","4,358 BRL","1,504 CAD","7,846 €","8,833 CNY","16.401,860 IDR","79,643 INR","1.273,130 KRW","23,058 MXN","1,661 NZD","59,352 PHP","1,555 SGD"
29 NOV 2018,"1,139 USD","128,990 JPY","1,132 CHF","0,891 GBP","25,967 CZK","7,462 DKK","323,420 HUF","4,292 PLN","4,653 RON","10,317 SEK","9,732 NOK","5,875 TRY","1,553 AUD","4,387 BRL","1,512 CAD","7,906 €","8,908 CNY","16.334,140 IDR","79,537 INR","1.275,570 KRW","23,016 MXN","1,657 NZD","59,676 PHP","1,560 SGD"
30 NOV 2018,"1,136 USD","128,990 JPY","1,134 CHF","0,891 GBP","25,957 CZK","7,462 DKK","323,620 HUF","4,290 PLN","4,660 RON","10,320 SEK","9,740 NOK","5,875 TRY","1,557 AUD","4,384 BRL","1,512 CAD","7,890 €","8,885 CNY","16.246,210 IDR","79,082 INR","1.274,040 KRW","23,091 MXN","1,656 NZD","59,536 PHP","1,558 SGD"
03 DIC 2018,"1,133 USD","128,700 JPY","1,132 CHF","0,892 GBP","25,921 CZK","7,462 DKK","322,760 HUF","4,281 PLN","4,654 RON","10,236 SEK","9,689 NOK","5,946 TRY","1,535 AUD","4,337 BRL","1,493 CAD","7,807 €","8,862 CNY","16.188,270 IDR","79,791 INR","1.260,440 KRW","22,713 MXN","1,638 NZD","59,410 PHP","1,549 SGD"
04 DIC 2018,"1,141 USD","128,680 JPY","1,135 CHF","0,891 GBP","25,901 CZK","7,463 DKK","323,200 HUF","4,282 PLN","4,651 RON","10,229 SEK","9,647 NOK","6,104 TRY","1,545 AUD","4,364 BRL","1,503 CAD","7,799 €","8,907 CNY","16.303,460 IDR","80,472 INR","1.261,040 KRW","23,206 MXN","1,641 NZD","60,035 PHP","1,555 SGD"
05 DIC 2018,"1,135 USD","128,310 JPY","1,133 CHF","0,889 GBP","25,886 CZK","7,463 DKK","323,490 HUF","4,283 PLN","4,653 RON","10,175 SEK","9,648 NOK","6,045 TRY","1,557 AUD","4,369 BRL","1,508 CAD","7,785 €","8,870 CNY","16.344,080 IDR","80,066 INR","1.264,390 KRW","23,228 MXN","1,640 NZD","59,878 PHP","1,552 SGD"
06 DIC 2018,"1,135 USD","128,040 JPY","1,130 CHF","0,889 GBP","25,890 CZK","7,464 DKK","323,750 HUF","4,288 PLN","4,655 RON","10,236 SEK","9,703 NOK","6,095 TRY","1,575 AUD","4,437 BRL","1,523 CAD","7,824 €","8,867 CNY","16.481,650 IDR","80,495 INR","1.273,030 KRW","23,364 MXN","1,652 NZD","60,012 PHP","1,556 SGD"
07 DIC 2018,"1,137 USD","128,360 JPY","1,130 CHF","0,891 GBP","25,851 CZK","7,464 DKK","323,500 HUF","4,290 PLN","4,649 RON","10,267 SEK","9,697 NOK","6,062 TRY","1,577 AUD","4,436 BRL","1,523 CAD","7,824 €","8,887 CNY","16.454,010 IDR","80,509 INR","1.278,670 KRW","23,144 MXN","1,656 NZD","60,059 PHP","1,558 SGD"
10 DIC 2018,"1,143 USD","128,790 JPY","1,130 CHF","0,902 GBP","25,866 CZK","7,464 DKK","323,150 HUF","4,292 PLN","4,650 RON","10,333 SEK","9,689 NOK","6,050 TRY","1,584 AUD","4,452 BRL","1,522 CAD","7,897 €","8,928 CNY","16.671,360 IDR","82,728 INR","1.287,420 KRW","23,132 MXN","1,658 NZD","60,367 PHP","1,567 SGD"
11 DIC 2018,"1,138 USD","128,750 JPY","1,125 CHF","0,902 GBP","25,845 CZK","7,464 DKK","323,400 HUF","4,298 PLN","4,656 RON","10,297 SEK","9,704 NOK","6,130 TRY","1,578 AUD","4,442 BRL","1,524 CAD","7,850 €","8,893 CNY","16.625,000 IDR","81,822 INR","1.284,170 KRW","23,021 MXN","1,653 NZD","60,009 PHP","1,562 SGD"
12 DIC 2018,"1,135 USD","128,670 JPY","1,129 CHF","0,901 GBP","25,866 CZK","7,464 DKK","323,430 HUF","4,299 PLN","4,657 RON","10,360 SEK","9,727 NOK","6,089 TRY","1,573 AUD","4,388 BRL","1,517 CAD","7,816 €","8,869 CNY","16.562,320 IDR","81,690 INR","1.280,620 KRW","22,764 MXN","1,657 NZD","59,714 PHP","1,558 SGD"
13 DIC 2018,"1,137 USD","129,060 JPY","1,129 CHF","0,898 GBP","25,829 CZK","7,465 DKK","323,140 HUF","4,293 PLN","4,652 RON","10,302 SEK","9,739 NOK","6,097 TRY","1,573 AUD","4,408 BRL","1,519 CAD","7,825 €","8,880 CNY","16.496,360 IDR","81,428 INR","1.278,560 KRW","22,903 MXN","1,656 NZD","59,888 PHP","1,559 SGD"
14 DIC 2018,"1,129 USD","128,130 JPY","1,125 CHF","0,898 GBP","25,794 CZK","7,466 DKK","323,930 HUF","4,297 PLN","4,656 RON","10,261 SEK","9,724 NOK","6,080 TRY","1,575 AUD","4,413 BRL","1,510 CAD","7,788 €","8,817 CNY","16.499,620 IDR","81,225 INR","1.280,170 KRW","23,021 MXN","1,661 NZD","59,980 PHP","1,553 SGD"
17 DIC 2018,"1,134 USD","128,440 JPY","1,125 CHF","0,899 GBP","25,801 CZK","7,466 DKK","323,320 HUF","4,284 PLN","4,655 RON","10,273 SEK","9,784 NOK","6,096 TRY","1,580 AUD","4,436 BRL","1,519 CAD","7,822 €","8,862 CNY","16.529,510 IDR","81,213 INR","1.282,210 KRW","22,830 MXN","1,667 NZD","60,123 PHP","1,559 SGD"
18 DIC 2018,"1,138 USD","127,860 JPY","1,128 CHF","0,897 GBP","25,753 CZK","7,468 DKK","323,110 HUF","4,285 PLN","4,647 RON","10,276 SEK","9,884 NOK","6,078 TRY","1,581 AUD","4,437 BRL","1,525 CAD","7,846 €","8,898 CNY","16.472,760 IDR","80,253 INR","1.284,350 KRW","22,829 MXN","1,656 NZD","60,390 PHP","1,559 SGD"
19 DIC 2018,"1,141 USD","128,110 JPY","1,133 CHF","0,903 GBP","25,765 CZK","7,468 DKK","322,900 HUF","4,283 PLN","4,666 RON","10,339 SEK","9,938 NOK","6,086 TRY","1,588 AUD","4,452 BRL","1,533 CAD","7,868 €","8,924 CNY","16.471,670 IDR","80,116 INR","1.284,200 KRW","22,874 MXN","1,663 NZD","60,535 PHP","1,562 SGD"
20 DIC 2018,"1,145 USD","127,940 JPY","1,133 CHF","0,903 GBP","25,760 CZK","7,467 DKK","321,830 HUF","4,288 PLN","4,657 RON","10,253 SEK","9,897 NOK","6,032 TRY","1,605 AUD","4,408 BRL","1,542 CAD","7,886 €","8,963 CNY","16.544,400 IDR","79,949 INR","1.284,690 KRW","22,776 MXN","1,688 NZD","60,816 PHP","1,568 SGD"
21 DIC 2018,"1,141 USD","126,980 JPY","1,131 CHF","0,902 GBP","25,855 CZK","7,467 DKK","321,970 HUF","4,285 PLN","4,639 RON","10,273 SEK","9,943 NOK","6,055 TRY","1,608 AUD","4,410 BRL","1,546 CAD","7,883 €","8,937 CNY","16.696,340 IDR","80,040 INR","1.282,710 KRW","22,755 MXN","1,693 NZD","60,546 PHP","1,564 SGD"
24 DIC 2018,"1,141 USD","126,470 JPY","1,131 CHF","0,900 GBP","25,916 CZK","7,466 DKK","321,000 HUF","4,285 PLN","4,643 RON","10,343 SEK","10,003 NOK","6,048 TRY","1,619 AUD","4,454 BRL","1,551 CAD","7,873 €","8,936 CNY","16.642,560 IDR","80,019 INR","1.283,610 KRW","22,655 MXN","1,697 NZD","60,417 PHP","1,566 SGD"
27 DIC 2018,"1,138 USD","126,140 JPY","1,128 CHF","0,901 GBP","25,858 CZK","7,467 DKK","321,560 HUF","4,295 PLN","4,654 RON","10,273 SEK","9,970 NOK","6,007 TRY","1,616 AUD","4,479 BRL","1,550 CAD","7,811 €","8,911 CNY","16.608,200 IDR","79,945 INR","1.276,840 KRW","22,628 MXN","1,696 NZD","59,991 PHP","1,562 SGD"
28 DIC 2018,"1,145 USD","126,400 JPY","1,123 CHF","0,903 GBP","25,778 CZK","7,467 DKK","321,610 HUF","4,303 PLN","4,663 RON","10,277 SEK","9,974 NOK","6,040 TRY","1,622 AUD","4,443 BRL","1,560 CAD","7,878 €","8,972 CNY","16.639,280 IDR","80,226 INR","1.279,350 KRW","22,555 MXN","1,706 NZD","60,282 PHP","1,564 SGD"
31 DIC 2018,"1,145 USD","125,850 JPY","1,127 CHF","0,895 GBP","25,724 CZK","7,467 DKK","320,980 HUF","4,301 PLN","4,664 RON","10,255 SEK","9,948 NOK","6,059 TRY","1,622 AUD","4,444 BRL","1,561 CAD","7,875 €","8,968 CNY","16.500,000 IDR","79,730 INR","1.277,930 KRW","22,492 MXN","1,706 NZD","60,113 PHP","1,559 SGD"
02 ENE 2019,"1,140 USD","124,280 JPY","1,124 CHF","0,902 GBP","25,752 CZK","7,467 DKK","322,370 HUF","4,296 PLN","4,660 RON","10,215 SEK","9,911 NOK","6,113 TRY","1,627 AUD","4,393 BRL","1,555 CAD","7,817 €","8,929 CNY","16.484,110 IDR","79,986 INR","1.278,520 KRW","22,394 MXN","1,705 NZD","59,894 PHP","1,556 SGD"
03 ENE 2019,"1,135 USD","122,210 JPY","1,122 CHF","0,903 GBP","25,683 CZK","7,468 DKK","322,410 HUF","4,298 PLN","4,666 RON","10,281 SEK","9,911 NOK","6,225 TRY","1,629 AUD","4,281 BRL","1,539 CAD","7,802 €","8,888 CNY","16.352,470 IDR","79,608 INR","1.279,170 KRW","22,238 MXN","1,709 NZD","59,679 PHP","1,550 SGD"
04 ENE 2019,"1,140 USD","123,200 JPY","1,126 CHF","0,900 GBP","25,653 CZK","7,468 DKK","321,450 HUF","4,296 PLN","4,666 RON","10,246 SEK","9,865 NOK","6,171 TRY","1,619 AUD","4,289 BRL","1,533 CAD","7,828 €","8,933 CNY","16.241,350 IDR","79,432 INR","1.279,130 KRW","22,308 MXN","1,705 NZD","59,809 PHP","1,553 SGD"
07 ENE 2019,"1,145 USD","123,900 JPY","1,123 CHF","0,897 GBP","25,572 CZK","7,468 DKK","321,110 HUF","4,291 PLN","4,663 RON","10,224 SEK","9,802 NOK","6,133 TRY","1,604 AUD","4,229 BRL","1,528 CAD","7,842 €","8,968 CNY","16.122,630 IDR","79,690 INR","1.281,150 KRW","22,120 MXN","1,693 NZD","59,980 PHP","1,553 SGD"
08 ENE 2019,"1,144 USD","124,460 JPY","1,123 CHF","0,897 GBP","25,642 CZK","7,466 DKK","322,150 HUF","4,306 PLN","4,671 RON","10,186 SEK","9,775 NOK","6,285 TRY","1,604 AUD","4,260 BRL","1,521 CAD","7,841 €","8,967 CNY","16.181,880 IDR","80,245 INR","1.288,620 KRW","22,160 MXN","1,702 NZD","60,057 PHP","1,555 SGD"
09 ENE 2019,"1,146 USD","124,700 JPY","1,123 CHF","0,899 GBP","25,629 CZK","7,466 DKK","321,850 HUF","4,297 PLN","4,674 RON","10,227 SEK","9,767 NOK","6,340 TRY","1,598 AUD","4,225 BRL","1,517 CAD","7,823 €","8,979 CNY","16.180,190 IDR","80,637 INR","1.284,160 KRW","22,101 MXN","1,691 NZD","59,887 PHP","1,553 SGD"
10 ENE 2019,"1,154 USD","124,700 JPY","1,128 CHF","0,904 GBP","25,626 CZK","7,466 DKK","321,160 HUF","4,296 PLN","4,681 RON","10,230 SEK","9,749 NOK","6,271 TRY","1,603 AUD","4,245 BRL","1,525 CAD","7,821 €","9,041 CNY","16.240,130 IDR","81,201 INR","1.289,040 KRW","22,128 MXN","1,698 NZD","60,167 PHP","1,558 SGD"
11 ENE 2019,"1,153 USD","124,910 JPY","1,133 CHF","0,900 GBP","25,606 CZK","7,464 DKK","321,600 HUF","4,297 PLN","4,676 RON","10,234 SEK","9,758 NOK","6,302 TRY","1,597 AUD","4,285 BRL","1,525 CAD","7,792 €","9,043 CNY","16.246,020 IDR","81,348 INR","1.289,160 KRW","22,076 MXN","1,687 NZD","60,206 PHP","1,558 SGD"
14 ENE 2019,"1,147 USD","123,930 JPY","1,126 CHF","0,893 GBP","25,561 CZK","7,464 DKK","321,330 HUF","4,293 PLN","4,682 RON","10,249 SEK","9,787 NOK","6,324 TRY","1,595 AUD","4,274 BRL","1,523 CAD","7,760 €","8,993 CNY","16.195,990 IDR","81,220 INR","1.287,820 KRW","21,983 MXN","1,682 NZD","59,912 PHP","1,553 SGD"
15 ENE 2019,"1,142 USD","124,020 JPY","1,127 CHF","0,890 GBP","25,572 CZK","7,464 DKK","322,800 HUF","4,293 PLN","4,683 RON","10,240 SEK","9,762 NOK","6,228 TRY","1,588 AUD","4,237 BRL","1,515 CAD","7,723 €","8,959 CNY","16.135,260 IDR","81,231 INR","1.283,260 KRW","21,732 MXN","1,676 NZD","59,519 PHP","1,547 SGD"
16 ENE 2019,"1,139 USD","123,910 JPY","1,127 CHF","0,886 GBP","25,564 CZK","7,464 DKK","321,580 HUF","4,288 PLN","4,685 RON","10,249 SEK","9,736 NOK","6,117 TRY","1,587 AUD","4,227 BRL","1,510 CAD","7,702 €","8,934 CNY","16.115,870 IDR","81,006 INR","1.278,360 KRW","21,638 MXN","1,682 NZD","59,468 PHP","1,544 SGD"
17 ENE 2019,"1,140 USD","123,950 JPY","1,131 CHF","0,883 GBP","25,537 CZK","7,465 DKK","320,070 HUF","4,284 PLN","4,689 RON","10,286 SEK","9,758 NOK","6,122 TRY","1,590 AUD","4,288 BRL","1,515 CAD","7,717 €","8,940 CNY","16.159,530 IDR","80,977 INR","1.280,680 KRW","21,640 MXN","1,690 NZD","59,847 PHP","1,545 SGD"
18 ENE 2019,"1,140 USD","124,780 JPY","1,133 CHF","0,881 GBP","25,580 CZK","7,465 DKK","318,090 HUF","4,293 PLN","4,699 RON","10,252 SEK","9,722 NOK","6,109 TRY","1,585 AUD","4,270 BRL","1,513 CAD","7,729 €","8,944 CNY","16.193,180 IDR","81,088 INR","1.278,730 KRW","21,710 MXN","1,684 NZD","59,983 PHP","1,546 SGD"
21 ENE 2019,"1,136 USD","124,600 JPY","1,134 CHF","0,883 GBP","25,593 CZK","7,466 DKK","317,710 HUF","4,291 PLN","4,711 RON","10,252 SEK","9,744 NOK","6,067 TRY","1,589 AUD","4,285 BRL","1,512 CAD","7,724 €","8,913 CNY","16.180,620 IDR","80,934 INR","1.285,380 KRW","21,780 MXN","1,690 NZD","59,961 PHP","1,546 SGD"
22 ENE 2019,"1,135 USD","124,250 JPY","1,133 CHF","0,880 GBP","25,612 CZK","7,467 DKK","317,980 HUF","4,283 PLN","4,729 RON","10,254 SEK","9,763 NOK","6,075 TRY","1,592 AUD","4,262 BRL","1,513 CAD","7,730 €","8,909 CNY","16.160,150 IDR","81,046 INR","1.284,770 KRW","21,780 MXN","1,689 NZD","60,056 PHP","1,545 SGD"
23 ENE 2019,"1,137 USD","124,700 JPY","1,134 CHF","0,872 GBP","25,693 CZK","7,467 DKK","318,120 HUF","4,289 PLN","4,758 RON","10,245 SEK","9,756 NOK","6,034 TRY","1,593 AUD","4,324 BRL","1,513 CAD","7,715 €","8,918 CNY","16.110,410 IDR","81,054 INR","1.282,000 KRW","21,755 MXN","1,674 NZD","59,902 PHP","1,545 SGD"
24 ENE 2019,"1,134 USD","124,430 JPY","1,128 CHF","0,871 GBP","25,695 CZK","7,466 DKK","318,420 HUF","4,288 PLN","4,772 RON","10,284 SEK","9,728 NOK","5,990 TRY","1,597 AUD","4,287 BRL","1,516 CAD","7,704 €","8,899 CNY","16.064,530 IDR","80,656 INR","1.281,180 KRW","21,603 MXN","1,673 NZD","59,905 PHP","1,543 SGD"
25 ENE 2019,"1,135 USD","124,720 JPY","1,131 CHF","0,866 GBP","25,697 CZK","7,466 DKK","318,260 HUF","4,291 PLN","4,769 RON","10,298 SEK","9,705 NOK","5,981 TRY","1,594 AUD","4,274 BRL","1,511 CAD","7,670 €","8,902 CNY","15.980,840 IDR","80,634 INR","1.270,870 KRW","21,455 MXN","1,672 NZD","59,662 PHP","1,539 SGD"
28 ENE 2019,"1,142 USD","124,940 JPY","1,133 CHF","0,869 GBP","25,726 CZK","7,465 DKK","317,530 HUF","4,286 PLN","4,765 RON","10,350 SEK","9,732 NOK","6,053 TRY","1,591 AUD","4,287 BRL","1,512 CAD","7,700 €","8,959 CNY","16.056,620 IDR","81,232 INR","1.277,220 KRW","21,727 MXN","1,669 NZD","59,956 PHP","1,546 SGD"
29 ENE 2019,"1,142 USD","125,030 JPY","1,135 CHF","0,867 GBP","25,747 CZK","7,465 DKK","317,210 HUF","4,298 PLN","4,756 RON","10,351 SEK","9,704 NOK","6,067 TRY","1,595 AUD","4,274 BRL","1,514 CAD","7,693 €","8,962 CNY","16.093,600 IDR","81,306 INR","1.277,320 KRW","21,715 MXN","1,669 NZD","59,947 PHP","1,544 SGD"
30 ENE 2019,"1,143 USD","125,080 JPY","1,140 CHF","0,873 GBP","25,802 CZK","7,465 DKK","316,530 HUF","4,291 PLN","4,755 RON","10,384 SEK","9,694 NOK","6,029 TRY","1,589 AUD","4,239 BRL","1,511 CAD","7,677 €","8,966 CNY","16.149,180 IDR","81,351 INR","1.277,980 KRW","21,825 MXN","1,672 NZD","59,774 PHP","1,544 SGD"
31 ENE 2019,"1,149 USD","124,810 JPY","1,141 CHF","0,876 GBP","25,760 CZK","7,466 DKK","315,880 HUF","4,274 PLN","4,727 RON","10,373 SEK","9,662 NOK","5,969 TRY","1,579 AUD","4,204 BRL","1,511 CAD","7,701 €","9,014 CNY","15.980,380 IDR","81,686 INR","1.277,580 KRW","21,900 MXN","1,661 NZD","59,843 PHP","1,546 SGD"
01 FEB 2019,"1,147 USD","124,910 JPY","1,140 CHF","0,879 GBP","25,695 CZK","7,465 DKK","317,630 HUF","4,274 PLN","4,756 RON","10,388 SEK","9,669 NOK","5,988 TRY","1,579 AUD","4,211 BRL","1,508 CAD","7,726 €","9,001 CNY","16.009,500 IDR","81,771 INR","1.281,330 KRW","21,946 MXN","1,657 NZD","59,916 PHP","1,547 SGD"
