DESCRIPCIÓN DE LAS UNIDADES,Dólares de Estados Unidos por Euro,Yenes japoneses por Euro,Francos suizos por Euro,Libras esterlinas por Euro,Coronas checas por Euro,Coronas danesas por Euro,Forints húngaros por Euro,Zlotys polacos por Euro,Lei rumanos por Euro,Coronas suecas por Euro,Coronas noruegas por Euro,Liras turcas por Euro,Dólares australianos por Euro,Reales brasileños por Euro,Dólares canadienses por Euro,Yuans por Euro,Dólares de Hong Kong por Euro,Rupias indonesias por Euro,Rupias indias por euro,Wons surcoreanos por Euro,Pesos mejicanos por Euro,Dólares neozelandeses por Euro,Pesos filipinos por Euro,Dólares de Singapur por Euro
28 JUN 2016,"1,107 USD","113,400 JPY","1,085 CHF","0,827 GBP","27,108 CZK","7,439 DKK","317,670 HUF","4,441 PLN","4,525 RON","9,443 SEK","9,379 NOK","3,220 TRY","1,498 AUD","3,718 BRL","1,444 CAD","7,361 €","8,593 CNY","14.595,530 IDR","75,207 INR","1.294,190 KRW","20,983 MXN","1,567 NZD","52,150 PHP","1,501 SGD"
29 JUN 2016,"1,109 USD","113,850 JPY","1,085 CHF","0,826 GBP","27,114 CZK","7,438 DKK","316,950 HUF","4,426 PLN","4,525 RON","9,431 SEK","9,307 NOK","3,216 TRY","1,491 AUD","3,622 BRL","1,441 CAD","7,368 €","8,604 CNY","14.577,250 IDR","74,969 INR","1.283,150 KRW","20,733 MXN","1,557 NZD","52,106 PHP","1,495 SGD"
30 JUN 2016,"1,110 USD","114,050 JPY","1,087 CHF","0,827 GBP","27,131 CZK","7,439 DKK","317,060 HUF","4,436 PLN","4,523 RON","9,424 SEK","9,301 NOK","3,206 TRY","1,493 AUD","3,590 BRL","1,438 CAD","7,376 €","8,614 CNY","14.601,700 IDR","74,960 INR","1.278,480 KRW","20,635 MXN","1,562 NZD","52,241 PHP","1,496 SGD"
01 JUL 2016,"1,114 USD","114,290 JPY","1,084 CHF","0,838 GBP","27,093 CZK","7,438 DKK","316,520 HUF","4,397 PLN","4,516 RON","9,390 SEK","9,298 NOK","3,208 TRY","1,488 AUD","3,584 BRL","1,439 CAD","7,411 €","8,639 CNY","14.597,990 IDR","74,970 INR","1.275,760 KRW","20,181 MXN","1,551 NZD","52,334 PHP","1,496 SGD"
04 JUL 2016,"1,114 USD","114,290 JPY","1,084 CHF","0,839 GBP","27,095 CZK","7,441 DKK","316,930 HUF","4,430 PLN","4,513 RON","9,391 SEK","9,254 NOK","3,228 TRY","1,479 AUD","3,613 BRL","1,433 CAD","7,423 €","8,642 CNY","14.586,690 IDR","74,907 INR","1.278,830 KRW","20,424 MXN","1,545 NZD","52,176 PHP","1,499 SGD"
05 JUL 2016,"1,115 USD","113,500 JPY","1,084 CHF","0,850 GBP","27,071 CZK","7,440 DKK","316,330 HUF","4,446 PLN","4,519 RON","9,433 SEK","9,320 NOK","3,255 TRY","1,490 AUD","3,666 BRL","1,442 CAD","7,438 €","8,647 CNY","14.633,230 IDR","75,203 INR","1.289,880 KRW","20,807 MXN","1,552 NZD","52,386 PHP","1,504 SGD"
06 JUL 2016,"1,107 USD","111,480 JPY","1,082 CHF","0,853 GBP","27,078 CZK","7,441 DKK","316,600 HUF","4,456 PLN","4,519 RON","9,467 SEK","9,352 NOK","3,263 TRY","1,481 AUD","3,679 BRL","1,442 CAD","7,402 €","8,589 CNY","14.617,720 IDR","74,628 INR","1.289,100 KRW","20,902 MXN","1,556 NZD","52,153 PHP","1,497 SGD"
07 JUL 2016,"1,108 USD","111,900 JPY","1,082 CHF","0,851 GBP","27,049 CZK","7,441 DKK","315,520 HUF","4,428 PLN","4,514 RON","9,479 SEK","9,378 NOK","3,247 TRY","1,474 AUD","3,689 BRL","1,433 CAD","7,404 €","8,597 CNY","14.603,440 IDR","74,704 INR","1.280,630 KRW","20,727 MXN","1,534 NZD","52,157 PHP","1,493 SGD"
08 JUL 2016,"1,107 USD","111,170 JPY","1,086 CHF","0,852 GBP","27,033 CZK","7,441 DKK","314,080 HUF","4,428 PLN","4,513 RON","9,469 SEK","9,393 NOK","3,240 TRY","1,473 AUD","3,694 BRL","1,441 CAD","7,401 €","8,587 CNY","14.605,200 IDR","74,513 INR","1.280,910 KRW","20,796 MXN","1,522 NZD","52,252 PHP","1,490 SGD"
11 JUL 2016,"1,105 USD","113,230 JPY","1,087 CHF","0,851 GBP","27,037 CZK","7,437 DKK","313,070 HUF","4,421 PLN","4,494 RON","9,476 SEK","9,406 NOK","3,203 TRY","1,462 AUD","3,665 BRL","1,444 CAD","7,393 €","8,573 CNY","14.476,950 IDR","74,187 INR","1.268,780 KRW","20,378 MXN","1,525 NZD","52,309 PHP","1,491 SGD"
